lat,lon,row_idx,col_idx,elevation,slope,aspect,twi,curvature,rainfall_24h,rainfall_3h,river_distance,drainage_distance,flow_accumulation,soil_moisture,urban_density,road_distance,facility_distance,LST_C_mean,wind_speed_kmh,wind_gust_kmh,wind_dir_deg,wind_hazard_score,temp_max_C,apparent_temp_C,heat_index_C,uv_index,heat_hazard_score,heat_wave_flag,vegetation_cover,antecedent_rain_mm,factor_of_safety,landslide_susceptibility,in_roi,flood_occurred,landslide_occurred,wind_kmh,temp_C
30.5722,77.9313,124,74,1784.0,18.630369,163.808609,8.255104,0.173202,89.290386,31.251635,1781.222939,388.431536,669.887001,0.2,0.0,227.142451,15972.268601,8.976579,21.462185,48.371173,110.391853,0.1789,16.33,14.96,16.33,5.8,0.0443,0,0.35,26.816083,1.782,0.138,1,0,0,21.462185,12.33
30.5722,77.9363,124,75,1582.0,35.896206,139.502304,7.635824,0.173202,89.290386,31.251635,1897.267685,585.305598,529.050483,0.2,0.0,611.515426,15630.353942,9.82613,19.676164,44.441531,110.667271,0.164,16.12,14.74,16.12,5.8,0.0373,0,0.35,27.580762,0.756,0.3542,1,0,1,19.676164,12.12
30.5722,77.9413,124,76,1827.0,14.666471,171.73941,8.474575,0.173202,89.290386,31.251635,2118.304268,916.371968,534.199567,0.2,0.0057,764.841864,15295.870147,9.306447,21.315245,48.240067,110.917901,0.1776,15.94,14.55,15.94,5.8,0.0313,0,0.35,28.27662,2.322,0.0951,1,0,0,21.315245,11.94
30.5722,77.9463,124,77,2057.0,39.05291,217.050827,7.140572,-0.007873,89.290386,31.251635,2415.683068,1195.515431,313.844307,0.2,0.0202,529.362676,14969.315497,5.0,23.049418,52.164798,110.917901,0.1921,15.99,14.61,15.99,5.8,0.033,0,0.35,28.27662,0.659,0.3809,1,0,1,23.049418,11.99
30.5722,77.9513,124,78,2160.0,7.744714,213.571777,8.82056,-0.007873,89.290386,31.251635,2427.886714,1067.867516,823.250561,0.2,0.0193,378.73198,14651.220346,5.0,23.826025,53.922395,110.917901,0.1986,16.04,14.67,16.04,5.8,0.0347,0,0.35,28.27662,4.539,0.098,1,0,0,23.826025,12.04
30.5722,77.9563,124,79,2113.0,9.984232,73.986717,8.612258,-0.187212,91.484837,32.019693,2170.086882,768.957723,532.821474,0.2,0.0156,337.702031,14342.147736,8.901998,23.471651,53.120385,110.917901,0.1956,16.09,14.73,16.09,5.8,0.0363,0,0.35,28.27662,3.492,0.126,1,0,0,23.471651,12.09
30.5722,77.9613,124,80,2047.0,14.594549,21.164001,8.286807,-0.187212,91.484837,32.019693,1996.118264,548.605725,401.683722,0.2,0.0,276.665135,14042.693588,6.655252,22.974019,51.994157,110.917901,0.1915,16.14,14.79,16.14,5.8,0.038,0,0.35,28.27662,2.334,0.1379,1,1,0,22.974019,12.14
30.5722,77.9663,124,81,2021.0,19.703058,47.308838,7.992934,-0.186638,91.484837,32.019693,1928.800579,466.440496,523.591963,0.2,0.0436,317.343662,13753.486352,7.905857,22.777982,51.550492,110.917901,0.1898,16.18,14.84,16.18,5.8,0.0393,0,0.35,28.27662,1.667,0.2121,1,0,0,22.777982,12.18
30.5722,77.9713,124,82,1895.0,18.69709,90.0,8.161795,-0.186638,91.484837,32.019693,1928.494058,158.2297,516.396088,0.2,0.0181,46.839185,13475.185979,6.094869,21.827957,49.400422,110.917901,0.1819,16.23,14.9,16.23,5.8,0.041,0,0.35,28.27662,1.771,0.1731,1,0,0,21.827957,12.23
30.5722,77.9763,124,83,1829.0,28.546204,146.428223,7.741303,-0.186638,91.484837,32.019693,1832.161436,214.509904,330.598399,0.2,0.0061,110.015698,13208.482081,10.750448,21.330325,48.274195,110.917901,0.1778,16.28,14.96,16.28,5.8,0.0427,0,0.35,28.27662,1.052,0.285,1,0,0,21.330325,12.28
